LOCATION,TIME,eu,ea,gr5y,pop_work_5,gdp_per_work_5,trade_in_goods_5,inflation_5,years
AUS,1975,0.0,0.0,0.45902584837037774,785.786708274,74.75874226612153,25.5916058937342,3.439153,1975
AUS,1976,0.0,0.0,0.48789994136713866,822.9502151700001,77.78244518324475,24.793184066181098,6.138107,1976
AUS,1977,0.0,0.0,0.4504241419934407,839.26164344,83.00997256879951,25.1693569461475,6.024096,1977
AUS,1978,0.0,0.0,0.43869605149005925,854.29707388,92.10417360162059,26.3621582160871,9.090909,1978
AUS,1979,0.0,0.0,0.477899324110557,871.7126002040001,98.830831377037,29.0096825419132,15.41667,1979
AUS,1980,0.0,0.0,0.4820093203428293,886.1785790700001,109.07493735793038,26.900064877333698,15.16245,1980
AUS,1981,0.0,0.0,0.5780106919215072,899.3101240549998,115.73249562754253,28.6695672086101,13.32288,1981
AUS,1982,0.0,0.0,0.5170373364392871,914.093407472,120.39966824000008,28.215099267053702,12.30982,1982
AUS,1983,0.0,0.0,0.46437746209395897,928.9289244599998,132.5099108864065,29.6651403610851,8.004926,1983
AUS,1984,0.0,0.0,0.4086915136119601,942.753051363,146.0620188934074,32.343926679759605,9.122006,1984
AUS,1985,0.0,0.0,0.3533704510128116,957.0938409240001,161.65007378026309,31.6487229036032,10.13584,1985
AUS,1986,0.0,0.0,0.23296277578830346,974.2650291,182.6271155030212,30.3671689045292,9.487666,1986
AUS,1987,0.0,0.0,0.3155479666697814,994.036729855,182.65079201498355,29.2148849897175,11.35182,1987
AUS,1988,0.0,0.0,0.31784552234796626,1010.6584041599999,194.0445270061326,28.582140614308898,10.03891,1988
AUS,1989,0.0,0.0,0.2925064714713731,1026.977875329,205.7563264761728,32.5616134619722,3.960396,1989
AUS,1990,0.0,0.0,0.21527973748325374,1044.1600141200001,218.77243325824892,33.0890716261912,6.734694,1990
AUS,1991,0.0,0.0,0.20487274458408716,1063.66649505,225.17243526481613,32.5847887718315,9.05035,1991
AUS,1992,0.0,0.0,0.19083466039159314,1083.710716242,240.28587804593676,32.6346371750816,8.533022,1992
AUS,1993,0.0,0.0,0.18068267459009515,1104.1667013960002,255.72071105116086,32.129913804362,7.21594,1993
AUS,1994,0.0,0.0,0.20577597318633822,1124.29592584,265.94138351662997,32.2198286534938,7.533903,1994
AUS,1995,0.0,0.0,0.2629950270828906,1141.674128328,265.8697052586574,32.25496700725,7.333022,1995
AUS,1996,0.0,0.0,0.28507225185892016,1154.7637291960002,271.3041300822017,33.1097155382806,3.176675,1996
AUS,1997,0.0,0.0,0.27972011894816257,1166.366792185,286.14075197972886,35.4659593998155,1.012231,1997
AUS,1998,0.0,0.0,0.27260296050662175,1175.077796272,301.9250130719655,36.5258931638612,1.753653,1998
AUS,1999,0.0,0.0,0.2656706200076543,1185.470253972,320.6657305202857,37.8015516603413,1.969635,1999
AUS,2000,0.0,0.0,0.25856003178333437,1198.602999622,335.79211559367815,38.3323319414934,4.627767,2000
AUS,2001,0.0,0.0,0.2644234689344621,1213.787706967,348.64540938336035,38.0748112251054,2.615385,2001
AUS,2002,0.0,0.0,0.25269120928973204,1227.748031754,366.1800771594153,40.0704305582242,0.2248875,2002
AUS,2003,0.0,0.0,0.2501379256912349,1241.237498304,384.23066548638377,39.134648410603404,0.8601346,2003
AUS,2004,0.0,0.0,0.24126533531188707,1256.0572427519999,405.8571939628174,41.0290111758291,1.483129,2004
AUS,2005,0.0,0.0,0.2504198471987937,1272.113471304,422.61453567417266,44.3652083634724,4.457435,2005
AUS,2006,0.0,0.0,0.2736093519977963,1289.535321003,440.83543796058416,41.557275874275604,4.407135,2006
AUS,2007,0.0,0.0,0.2801456798592839,1306.4909933600002,458.71056367463535,40.296144626448296,2.981575,2007
AUS,2008,0.0,0.0,0.23663387602232983,1323.9713992319998,480.34132713811056,37.1207343685942,2.732596,2008
